Num_Features,Model,Train_Time_s,Dataset,Evaluation_Type,Accuracy,F1_Score
40,Logistic Regression,31.14,LycoS-2018 (Cross),Multiclass,0.154,0.1902
40,Logistic Regression,31.14,LycoS-2018 (Cross),Binary,0.5814,0.6963
40,Random Forest,11.42,CICIDS-2018 (Within),Multiclass,0.9495,0.9498
40,Random Forest,11.42,CICIDS-2018 (Within),Binary,0.9786,0.9884
40,Random Forest,11.42,CICIDS-2017 (Cross),Multiclass,0.4913,0.4626
40,Random Forest,11.42,CICIDS-2017 (Cross),Binary,0.6364,0.6712
40,Random Forest,11.42,LycoS-2018 (Cross),Multiclass,0.6887,0.7447
40,Random Forest,11.42,LycoS-2018 (Cross),Binary,0.6984,0.7609
40,Extra Trees,3.68,CICIDS-2018 (Within),Multiclass,0.9342,0.9332
40,Extra Trees,3.68,CICIDS-2018 (Within),Binary,0.97,0.9838
40,Extra Trees,3.68,CICIDS-2017 (Cross),Multiclass,0.6836,0.716
40,Extra Trees,3.68,CICIDS-2017 (Cross),Binary,0.768,0.7651
40,Extra Trees,3.68,LycoS-2018 (Cross),Multiclass,0.6177,0.6448
40,Extra Trees,3.68,LycoS-2018 (Cross),Binary,0.6275,0.7204
40,XGBoost,10.82,CICIDS-2018 (Within),Multiclass,0.949,0.9491
40,XGBoost,10.82,CICIDS-2018 (Within),Binary,0.9777,0.9879
40,XGBoost,10.82,CICIDS-2017 (Cross),Multiclass,0.3256,0.2611
40,XGBoost,10.82,CICIDS-2017 (Cross),Binary,0.5069,0.6229
40,XGBoost,10.82,LycoS-2018 (Cross),Multiclass,0.3447,0.4425
40,XGBoost,10.82,LycoS-2018 (Cross),Binary,0.5747,0.6743
40,LightGBM,10.15,CICIDS-2018 (Within),Multiclass,0.9512,0.9514
40,LightGBM,10.15,CICIDS-2018 (Within),Binary,0.9797,0.9889
40,LightGBM,10.15,CICIDS-2017 (Cross),Multiclass,0.2344,0.1006
40,LightGBM,10.15,CICIDS-2017 (Cross),Binary,0.4166,0.5833
40,LightGBM,10.15,LycoS-2018 (Cross),Multiclass,0.6033,0.672
40,LightGBM,10.15,LycoS-2018 (Cross),Binary,0.6503,0.733
40,MLP (PyTorch),35.56,CICIDS-2018 (Within),Multiclass,0.9399,0.9398
40,MLP (PyTorch),35.56,CICIDS-2018 (Within),Binary,0.9698,0.9836
40,MLP (PyTorch),35.56,CICIDS-2017 (Cross),Multiclass,0.5984,0.585
40,MLP (PyTorch),35.56,CICIDS-2017 (Cross),Binary,0.6964,0.6883
40,MLP (PyTorch),35.56,LycoS-2018 (Cross),Multiclass,0.4755,0.493
40,MLP (PyTorch),35.56,LycoS-2018 (Cross),Binary,0.5279,0.6703
50,Logistic Regression,22.78,CICIDS-2018 (Within),Multiclass,0.9269,0.9255
50,Logistic Regression,22.78,CICIDS-2018 (Within),Binary,0.9623,0.9796
50,Logistic Regression,22.78,CICIDS-2017 (Cross),Multiclass,0.6564,0.6744
50,Logistic Regression,22.78,CICIDS-2017 (Cross),Binary,0.6577,0.6884
50,Logistic Regression,22.78,LycoS-2018 (Cross),Multiclass,0.2321,0.2176
50,Logistic Regression,22.78,LycoS-2018 (Cross),Binary,0.2689,0.1239
50,Random Forest,12.41,CICIDS-2018 (Within),Multiclass,0.9499,0.9502
50,Random Forest,12.41,CICIDS-2018 (Within),Binary,0.9787,0.9884
50,Random Forest,12.41,CICIDS-2017 (Cross),Multiclass,0.4469,0.4147
50,Random Forest,12.41,CICIDS-2017 (Cross),Binary,0.5941,0.6478
50,Random Forest,12.41,LycoS-2018 (Cross),Multiclass,0.6862,0.7422
50,Random Forest,12.41,LycoS-2018 (Cross),Binary,0.6958,0.7593
50,Extra Trees,4.18,CICIDS-2018 (Within),Multiclass,0.9389,0.9386
50,Extra Trees,4.18,CICIDS-2018 (Within),Binary,0.9704,0.9839
50,Extra Trees,4.18,CICIDS-2017 (Cross),Multiclass,0.6685,0.6864
50,Extra Trees,4.18,CICIDS-2017 (Cross),Binary,0.7512,0.7482
50,Extra Trees,4.18,LycoS-2018 (Cross),Multiclass,0.5879,0.6218
50,Extra Trees,4.18,LycoS-2018 (Cross),Binary,0.6016,0.7064
50,XGBoost,9.57,CICIDS-2018 (Within),Multiclass,0.9489,0.949
50,XGBoost,9.57,CICIDS-2018 (Within),Binary,0.9776,0.9878
50,XGBoost,9.57,CICIDS-2017 (Cross),Multiclass,0.3244,0.2601
50,XGBoost,9.57,CICIDS-2017 (Cross),Binary,0.5056,0.623
50,XGBoost,9.57,LycoS-2018 (Cross),Multiclass,0.3345,0.4295
50,XGBoost,9.57,LycoS-2018 (Cross),Binary,0.5631,0.6681
50,LightGBM,10.09,CICIDS-2018 (Within),Multiclass,0.9513,0.9515
